model,penalty,pca_dim,include_missingness,auprc,auroc,brier,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
signal_10,l2,0,False,0.37645963739658134,0.642825311942959,0.2482316430404819,386,166,79,34,10,7.9
signal_10_plus_ssl_pca5_l2,l2,5,False,0.39286912555204784,0.5995989304812834,0.26361065428494956,386,166,79,34,15,5.266666666666667
signal_10_plus_ssl_pca10_l2,l2,10,False,0.4229113421439084,0.6085115864527629,0.2642024885851171,386,166,79,34,20,3.95
signal_10_plus_ssl_pca20_l2,l2,20,False,0.4209540930969011,0.6178698752228164,0.27059723037788436,386,166,79,34,30,2.6333333333333333
signal_10_plus_ssl_pca5_elasticnet,elasticnet,5,False,0.3917727796558254,0.6004901960784313,0.2621432722800978,386,166,79,34,15,5.266666666666667
signal_12_plus_ssl_pca5_l2,l2,5,True,0.39673424286978376,0.6216577540106951,0.2630649226515571,386,166,79,34,17,4.647058823529412
