route,macro_auprc_median,macro_auroc_median
classical_signal,0.5665753948747871,0.7356847600625208
random,0.454259190699174,0.621132129839352
ctu_only,0.47892709346851,0.6392313288969772
jnu_only,0.5155447176873468,0.6737556374366643
jnu_to_ctu,0.5076057203527351,0.6801892207474112
jnu_asymmetric,0.4459802452065987,0.6004596149986148
