mask_strategy,scope,auprc,auroc,brier,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
random,development_only_method_sensitivity,0.34612461093950464,0.7103896103896103,0.2300146503221152,289,97,59,20,15,3.933333333333333
block,development_only_method_sensitivity,0.33119229201742895,0.7038961038961039,0.2372449060208503,289,97,59,20,15,3.933333333333333
channel,development_only_method_sensitivity,0.3296312155578135,0.6818181818181818,0.23524328411581064,289,97,59,20,15,3.933333333333333
mixed,development_only_method_sensitivity,0.3105799982901873,0.675974025974026,0.2448161652619468,289,97,59,20,15,3.933333333333333
