architecture,mean_development_auprc,sd_development_auprc,mean_development_auroc,mean_development_brier,trainable_parameters,folds,se_development_auprc,one_se_threshold,selected_by_one_se_rule
p120_d64_l2_block_cw02,0.39624310794836787,0.11013056581919942,0.6718179762154634,0.22048826956036824,126712,3,0.06358391182172059,0.3218328304448239,False
p60_d64_l2_mixed_cw02,0.4044793635303947,0.14314799437363088,0.6790025832477765,0.21508420803872963,121532,3,0.08264653308557082,0.3218328304448239,False
p80_d48_l2_mixed_cw01,0.3937928918237132,0.15535117544319624,0.6875396485777855,0.21351538553188223,74768,3,0.08969204296105414,0.3218328304448239,True
p80_d64_l3_channel_cw02,0.3900142884617226,0.1441023074046164,0.6797645952414656,0.22181832566929074,172816,3,0.08319750597090149,0.3218328304448239,False
