seed,fold,encoder_route,feature_set,task,n_train,n_validation,positive_train,positive_validation,auroc,average_precision,balanced_accuracy,f1
20260521,1,random,encoder_embedding,any_tachycardia,257,129,17,12,0.715099715099715,0.36461633010546046,0.6346153846153846,0.26666666666666666
20260521,1,random,classical_signal,any_tachycardia,257,129,17,12,0.9351851851851851,0.6324459549706171,0.9027777777777777,0.6111111111111112
20260521,1,random,encoder_embedding,any_acceleration,257,129,133,54,0.6762962962962963,0.6167896649992777,0.6251851851851852,0.6031746031746031
20260521,1,random,classical_signal,any_acceleration,257,129,133,54,0.6412345679012345,0.5468845204402342,0.6296296296296295,0.5765765765765766
20260521,1,random,encoder_embedding,any_deceleration,257,129,190,94,0.7030395136778116,0.8513596222797668,0.6437689969604863,0.7777777777777778
20260521,1,random,classical_signal,any_deceleration,257,129,190,94,0.664741641337386,0.8328303129507204,0.6082066869300912,0.7457627118644068
20260521,1,random,encoder_embedding,any_deceleration_early,257,129,125,63,0.7029822029822029,0.7219848362331809,0.6363636363636364,0.6412213740458015
20260521,1,random,classical_signal,any_deceleration_early,257,129,125,63,0.732082732082732,0.700282104925766,0.6670274170274171,0.6666666666666666
20260521,1,random,encoder_embedding,any_deceleration_late,257,129,48,26,0.5776699029126213,0.25084134636621885,0.5604929051530994,0.3373493975903614
20260521,1,random,classical_signal,any_deceleration_late,257,129,48,26,0.6243465272591486,0.2599620744330846,0.6327483196415236,0.40963855421686746
20260521,1,random,encoder_embedding,any_deceleration_variable,257,129,131,65,0.6569711538461538,0.6415865758923369,0.6198317307692307,0.6370370370370371
20260521,1,random,classical_signal,any_deceleration_variable,257,129,131,65,0.684375,0.6556368213878142,0.6585336538461539,0.6764705882352942
20260521,1,random,encoder_embedding,any_deceleration_prolonged,257,129,12,7,0.5140515222482436,0.0711907176663769,0.4994145199063232,0.09090909090909091
20260521,1,random,classical_signal,any_deceleration_prolonged,257,129,12,7,0.7330210772833724,0.12929507467322596,0.6750585480093676,0.21052631578947367
20260521,1,jnu_only,encoder_embedding,any_tachycardia,257,129,17,12,0.6488603988603988,0.27469812300418284,0.6185897435897436,0.2631578947368421
20260521,1,jnu_only,classical_signal,any_tachycardia,257,129,17,12,0.9351851851851851,0.6324459549706171,0.9027777777777777,0.6111111111111112
20260521,1,jnu_only,encoder_embedding,any_acceleration,257,129,133,54,0.6362962962962964,0.5935237459459396,0.6122222222222222,0.5689655172413793
20260521,1,jnu_only,classical_signal,any_acceleration,257,129,133,54,0.6412345679012345,0.5468845204402342,0.6296296296296295,0.5765765765765766
20260521,1,jnu_only,encoder_embedding,any_deceleration,257,129,190,94,0.813677811550152,0.9250062535700636,0.7291793313069909,0.8432432432432433
20260521,1,jnu_only,classical_signal,any_deceleration,257,129,190,94,0.664741641337386,0.8328303129507204,0.6082066869300912,0.7457627118644068
20260521,1,jnu_only,encoder_embedding,any_deceleration_early,257,129,125,63,0.7041847041847042,0.7270981575119166,0.6132756132756133,0.6212121212121212
20260521,1,jnu_only,classical_signal,any_deceleration_early,257,129,125,63,0.732082732082732,0.700282104925766,0.6670274170274171,0.6666666666666666
20260521,1,jnu_only,encoder_embedding,any_deceleration_late,257,129,48,26,0.49962658700522783,0.25973439404300536,0.46433905899925315,0.23076923076923078
20260521,1,jnu_only,classical_signal,any_deceleration_late,257,129,48,26,0.6243465272591486,0.2599620744330846,0.6327483196415236,0.40963855421686746
20260521,1,jnu_only,encoder_embedding,any_deceleration_variable,257,129,131,65,0.7774038461538462,0.7826462280697795,0.6899038461538461,0.6923076923076923
20260521,1,jnu_only,classical_signal,any_deceleration_variable,257,129,131,65,0.684375,0.6556368213878142,0.6585336538461539,0.6764705882352942
20260521,1,jnu_only,encoder_embedding,any_deceleration_prolonged,257,129,12,7,0.5234192037470725,0.12908903994818408,0.4935597189695551,0.07407407407407407
20260521,1,jnu_only,classical_signal,any_deceleration_prolonged,257,129,12,7,0.7330210772833724,0.12929507467322596,0.6750585480093676,0.21052631578947367
20260521,1,jnu_asymmetric,encoder_embedding,any_tachycardia,257,129,17,12,0.6524216524216524,0.24943360859417354,0.5641025641025641,0.2
20260521,1,jnu_asymmetric,classical_signal,any_tachycardia,257,129,17,12,0.9351851851851851,0.6324459549706171,0.9027777777777777,0.6111111111111112
20260521,1,jnu_asymmetric,encoder_embedding,any_acceleration,257,129,133,54,0.6022222222222221,0.5201726337728934,0.5748148148148149,0.5483870967741935
20260521,1,jnu_asymmetric,classical_signal,any_acceleration,257,129,133,54,0.6412345679012345,0.5468845204402342,0.6296296296296295,0.5765765765765766
20260521,1,jnu_asymmetric,encoder_embedding,any_deceleration,257,129,190,94,0.670516717325228,0.8623846182444209,0.5670212765957447,0.75
20260521,1,jnu_asymmetric,classical_signal,any_deceleration,257,129,190,94,0.664741641337386,0.8328303129507204,0.6082066869300912,0.7457627118644068
20260521,1,jnu_asymmetric,encoder_embedding,any_deceleration_early,257,129,125,63,0.7481962481962481,0.8044827253550266,0.6370851370851371,0.6518518518518519
20260521,1,jnu_asymmetric,classical_signal,any_deceleration_early,257,129,125,63,0.732082732082732,0.700282104925766,0.6670274170274171,0.6666666666666666
20260521,1,jnu_asymmetric,encoder_embedding,any_deceleration_late,257,129,48,26,0.47274085138162814,0.2570270393179698,0.5076549663928305,0.27848101265822783
20260521,1,jnu_asymmetric,classical_signal,any_deceleration_late,257,129,48,26,0.6243465272591486,0.2599620744330846,0.6327483196415236,0.40963855421686746
20260521,1,jnu_asymmetric,encoder_embedding,any_deceleration_variable,257,129,131,65,0.6365384615384615,0.6536667982861813,0.5811298076923077,0.5970149253731343
20260521,1,jnu_asymmetric,classical_signal,any_deceleration_variable,257,129,131,65,0.684375,0.6556368213878142,0.6585336538461539,0.6764705882352942
20260521,1,jnu_asymmetric,encoder_embedding,any_deceleration_prolonged,257,129,12,7,0.5070257611241218,0.19464282682780798,0.44437939110070257,0.05128205128205128
20260521,1,jnu_asymmetric,classical_signal,any_deceleration_prolonged,257,129,12,7,0.7330210772833724,0.12929507467322596,0.6750585480093676,0.21052631578947367
20260521,1,ctu_only,encoder_embedding,any_tachycardia,257,129,17,12,0.7321937321937321,0.3137351882354683,0.6014957264957265,0.23809523809523808
20260521,1,ctu_only,classical_signal,any_tachycardia,257,129,17,12,0.9351851851851851,0.6324459549706171,0.9027777777777777,0.6111111111111112
20260521,1,ctu_only,encoder_embedding,any_acceleration,257,129,133,54,0.7101234567901235,0.67691746534992,0.6292592592592593,0.6016260162601627
20260521,1,ctu_only,classical_signal,any_acceleration,257,129,133,54,0.6412345679012345,0.5468845204402342,0.6296296296296295,0.5765765765765766
20260521,1,ctu_only,encoder_embedding,any_deceleration,257,129,190,94,0.6747720364741642,0.8372101897295188,0.6544072948328268,0.7912087912087912
20260521,1,ctu_only,classical_signal,any_deceleration,257,129,190,94,0.664741641337386,0.8328303129507204,0.6082066869300912,0.7457627118644068
20260521,1,ctu_only,encoder_embedding,any_deceleration_early,257,129,125,63,0.727032227032227,0.7493997247554394,0.652958152958153,0.6715328467153284
20260521,1,ctu_only,classical_signal,any_deceleration_early,257,129,125,63,0.732082732082732,0.700282104925766,0.6670274170274171,0.6666666666666666
20260521,1,ctu_only,encoder_embedding,any_deceleration_late,257,129,48,26,0.4783420463032113,0.22797142404782567,0.4594846900672143,0.22784810126582278
20260521,1,ctu_only,classical_signal,any_deceleration_late,257,129,48,26,0.6243465272591486,0.2599620744330846,0.6327483196415236,0.40963855421686746
20260521,1,ctu_only,encoder_embedding,any_deceleration_variable,257,129,131,65,0.696875,0.6867142775075284,0.6588942307692307,0.6615384615384615
20260521,1,ctu_only,classical_signal,any_deceleration_variable,257,129,131,65,0.684375,0.6556368213878142,0.6585336538461539,0.6764705882352942
20260521,1,ctu_only,encoder_embedding,any_deceleration_prolonged,257,129,12,7,0.5035128805620608,0.061549943993459894,0.4402810304449649,0.05
20260521,1,ctu_only,classical_signal,any_deceleration_prolonged,257,129,12,7,0.7330210772833724,0.12929507467322596,0.6750585480093676,0.21052631578947367
20260521,1,jnu_to_ctu,encoder_embedding,any_tachycardia,257,129,17,12,0.6844729344729346,0.3332435991685217,0.6688034188034189,0.32432432432432434
20260521,1,jnu_to_ctu,classical_signal,any_tachycardia,257,129,17,12,0.9351851851851851,0.6324459549706171,0.9027777777777777,0.6111111111111112
20260521,1,jnu_to_ctu,encoder_embedding,any_acceleration,257,129,133,54,0.6214814814814814,0.5684591861489191,0.5911111111111111,0.5357142857142857
20260521,1,jnu_to_ctu,classical_signal,any_acceleration,257,129,133,54,0.6412345679012345,0.5468845204402342,0.6296296296296295,0.5765765765765766
20260521,1,jnu_to_ctu,encoder_embedding,any_deceleration,257,129,190,94,0.7939209726443769,0.9154521417602207,0.7238601823708206,0.8369565217391305
20260521,1,jnu_to_ctu,classical_signal,any_deceleration,257,129,190,94,0.664741641337386,0.8328303129507204,0.6082066869300912,0.7457627118644068
20260521,1,jnu_to_ctu,encoder_embedding,any_deceleration_early,257,129,125,63,0.7467532467532468,0.7645523557575713,0.6522366522366523,0.6616541353383458
20260521,1,jnu_to_ctu,classical_signal,any_deceleration_early,257,129,125,63,0.732082732082732,0.700282104925766,0.6670274170274171,0.6666666666666666
20260521,1,jnu_to_ctu,encoder_embedding,any_deceleration_late,257,129,48,26,0.46938013442867815,0.22787845602424556,0.44977595220313665,0.2222222222222222
20260521,1,jnu_to_ctu,classical_signal,any_deceleration_late,257,129,48,26,0.6243465272591486,0.2599620744330846,0.6327483196415236,0.40963855421686746
20260521,1,jnu_to_ctu,encoder_embedding,any_deceleration_variable,257,129,131,65,0.7637019230769231,0.7810790710496697,0.7052884615384616,0.7121212121212122
20260521,1,jnu_to_ctu,classical_signal,any_deceleration_variable,257,129,131,65,0.684375,0.6556368213878142,0.6585336538461539,0.6764705882352942
20260521,1,jnu_to_ctu,encoder_embedding,any_deceleration_prolonged,257,129,12,7,0.48711943793911006,0.10496315237265355,0.5690866510538641,0.14814814814814814
20260521,1,jnu_to_ctu,classical_signal,any_deceleration_prolonged,257,129,12,7,0.7330210772833724,0.12929507467322596,0.6750585480093676,0.21052631578947367
20260521,2,random,encoder_embedding,any_tachycardia,257,129,16,13,0.7440318302387268,0.3031714169995672,0.6402519893899205,0.3
20260521,2,random,classical_signal,any_tachycardia,257,129,16,13,0.9774535809018567,0.83808990155144,0.9353448275862069,0.6341463414634146
20260521,2,random,encoder_embedding,any_acceleration,257,129,118,69,0.6678743961352657,0.6541465281780682,0.6032608695652174,0.6277372262773723
20260521,2,random,classical_signal,any_acceleration,257,129,118,69,0.6652173913043479,0.672040665476562,0.6025362318840579,0.5806451612903226
20260521,2,random,encoder_embedding,any_deceleration,257,129,189,95,0.7439628482972137,0.8943336754731331,0.6845201238390093,0.75
20260521,2,random,classical_signal,any_deceleration,257,129,189,95,0.7938080495356037,0.9184972486710152,0.7369969040247678,0.7421383647798742
20260521,2,random,encoder_embedding,any_deceleration_early,257,129,124,64,0.6144230769230768,0.578211424716478,0.612139423076923,0.5967741935483871
20260521,2,random,classical_signal,any_deceleration_early,257,129,124,64,0.7754807692307693,0.7475255382400954,0.6973557692307693,0.6829268292682927
20260521,2,random,encoder_embedding,any_deceleration_late,257,129,55,19,0.6564593301435406,0.3040715415183493,0.6394736842105263,0.3492063492063492
20260521,2,random,classical_signal,any_deceleration_late,257,129,55,19,0.6435406698564594,0.3127432378635042,0.5858851674641148,0.29411764705882354
20260521,2,random,encoder_embedding,any_deceleration_variable,257,129,131,65,0.5747596153846154,0.5481793430045023,0.5814903846153846,0.578125
20260521,2,random,classical_signal,any_deceleration_variable,257,129,131,65,0.6757211538461538,0.6687568527265245,0.6201923076923077,0.6201550387596899
20260521,2,random,encoder_embedding,any_deceleration_prolonged,257,129,13,6,0.3888888888888889,0.05895884261569273,0.5447154471544715,0.10526315789473684
20260521,2,random,classical_signal,any_deceleration_prolonged,257,129,13,6,0.8672086720867209,0.4993311931514179,0.8191056910569106,0.2857142857142857
20260521,2,jnu_only,encoder_embedding,any_tachycardia,257,129,16,13,0.8275862068965517,0.5470422959465382,0.7854774535809019,0.43478260869565216
20260521,2,jnu_only,classical_signal,any_tachycardia,257,129,16,13,0.9774535809018567,0.83808990155144,0.9353448275862069,0.6341463414634146
20260521,2,jnu_only,encoder_embedding,any_acceleration,257,129,118,69,0.7067632850241545,0.7594460093886297,0.631159420289855,0.6713286713286714
20260521,2,jnu_only,classical_signal,any_acceleration,257,129,118,69,0.6652173913043479,0.672040665476562,0.6025362318840579,0.5806451612903226
20260521,2,jnu_only,encoder_embedding,any_deceleration,257,129,189,95,0.8046439628482972,0.9071383286150541,0.7465944272445821,0.8181818181818182
20260521,2,jnu_only,classical_signal,any_deceleration,257,129,189,95,0.7938080495356037,0.9184972486710152,0.7369969040247678,0.7421383647798742
20260521,2,jnu_only,encoder_embedding,any_deceleration_early,257,129,124,64,0.7651442307692308,0.7458503112509185,0.7287259615384616,0.7286821705426356
20260521,2,jnu_only,classical_signal,any_deceleration_early,257,129,124,64,0.7754807692307693,0.7475255382400954,0.6973557692307693,0.6829268292682927
20260521,2,jnu_only,encoder_embedding,any_deceleration_late,257,129,55,19,0.5186602870813397,0.18695608341747175,0.5368421052631579,0.25
20260521,2,jnu_only,classical_signal,any_deceleration_late,257,129,55,19,0.6435406698564594,0.3127432378635042,0.5858851674641148,0.29411764705882354
20260521,2,jnu_only,encoder_embedding,any_deceleration_variable,257,129,131,65,0.6716346153846153,0.6361760236372076,0.6736778846153846,0.704225352112676
20260521,2,jnu_only,classical_signal,any_deceleration_variable,257,129,131,65,0.6757211538461538,0.6687568527265245,0.6201923076923077,0.6201550387596899
20260521,2,jnu_only,encoder_embedding,any_deceleration_prolonged,257,129,13,6,0.7140921409214093,0.16835777061138796,0.7235772357723578,0.21621621621621623
20260521,2,jnu_only,classical_signal,any_deceleration_prolonged,257,129,13,6,0.8672086720867209,0.4993311931514179,0.8191056910569106,0.2857142857142857
20260521,2,jnu_asymmetric,encoder_embedding,any_tachycardia,257,129,16,13,0.7738726790450928,0.35409866946047736,0.7125331564986737,0.33962264150943394
20260521,2,jnu_asymmetric,classical_signal,any_tachycardia,257,129,16,13,0.9774535809018567,0.83808990155144,0.9353448275862069,0.6341463414634146
20260521,2,jnu_asymmetric,encoder_embedding,any_acceleration,257,129,118,69,0.7166666666666668,0.7670916383684464,0.6083333333333334,0.647887323943662
20260521,2,jnu_asymmetric,classical_signal,any_acceleration,257,129,118,69,0.6652173913043479,0.672040665476562,0.6025362318840579,0.5806451612903226
20260521,2,jnu_asymmetric,encoder_embedding,any_deceleration,257,129,189,95,0.628482972136223,0.8312457925720929,0.5657894736842105,0.6976744186046512
20260521,2,jnu_asymmetric,classical_signal,any_deceleration,257,129,189,95,0.7938080495356037,0.9184972486710152,0.7369969040247678,0.7421383647798742
20260521,2,jnu_asymmetric,encoder_embedding,any_deceleration_early,257,129,124,64,0.6435096153846154,0.5660011506714907,0.5737980769230769,0.5801526717557252
20260521,2,jnu_asymmetric,classical_signal,any_deceleration_early,257,129,124,64,0.7754807692307693,0.7475255382400954,0.6973557692307693,0.6829268292682927
20260521,2,jnu_asymmetric,encoder_embedding,any_deceleration_late,257,129,55,19,0.4052631578947368,0.1218530228159222,0.4569377990430622,0.18421052631578946
20260521,2,jnu_asymmetric,classical_signal,any_deceleration_late,257,129,55,19,0.6435406698564594,0.3127432378635042,0.5858851674641148,0.29411764705882354
20260521,2,jnu_asymmetric,encoder_embedding,any_deceleration_variable,257,129,131,65,0.5918269230769231,0.6096963575966194,0.5502403846153846,0.5606060606060606
20260521,2,jnu_asymmetric,classical_signal,any_deceleration_variable,257,129,131,65,0.6757211538461538,0.6687568527265245,0.6201923076923077,0.6201550387596899
20260521,2,jnu_asymmetric,encoder_embedding,any_deceleration_prolonged,257,129,13,6,0.6490514905149052,0.1660083410386808,0.6280487804878049,0.15384615384615385
20260521,2,jnu_asymmetric,classical_signal,any_deceleration_prolonged,257,129,13,6,0.8672086720867209,0.4993311931514179,0.8191056910569106,0.2857142857142857
20260521,2,ctu_only,encoder_embedding,any_tachycardia,257,129,16,13,0.6836870026525199,0.2513322510567918,0.5719496021220158,0.2222222222222222
20260521,2,ctu_only,classical_signal,any_tachycardia,257,129,16,13,0.9774535809018567,0.83808990155144,0.9353448275862069,0.6341463414634146
20260521,2,ctu_only,encoder_embedding,any_acceleration,257,129,118,69,0.6693236714975845,0.6971441139988217,0.5989130434782609,0.6482758620689655
20260521,2,ctu_only,classical_signal,any_acceleration,257,129,118,69,0.6652173913043479,0.672040665476562,0.6025362318840579,0.5806451612903226
20260521,2,ctu_only,encoder_embedding,any_deceleration,257,129,189,95,0.7962848297213623,0.9141221037161555,0.6908668730650155,0.7745664739884393
20260521,2,ctu_only,classical_signal,any_deceleration,257,129,189,95,0.7938080495356037,0.9184972486710152,0.7369969040247678,0.7421383647798742
20260521,2,ctu_only,encoder_embedding,any_deceleration_early,257,129,124,64,0.6860576923076923,0.6642196217789808,0.6508413461538461,0.6341463414634146
20260521,2,ctu_only,classical_signal,any_deceleration_early,257,129,124,64,0.7754807692307693,0.7475255382400954,0.6973557692307693,0.6829268292682927
20260521,2,ctu_only,encoder_embedding,any_deceleration_late,257,129,55,19,0.6942583732057416,0.3380089113746815,0.6385167464114833,0.34285714285714286
20260521,2,ctu_only,classical_signal,any_deceleration_late,257,129,55,19,0.6435406698564594,0.3127432378635042,0.5858851674641148,0.29411764705882354
20260521,2,ctu_only,encoder_embedding,any_deceleration_variable,257,129,131,65,0.6129807692307693,0.6515815623049501,0.5578125,0.5777777777777777
20260521,2,ctu_only,classical_signal,any_deceleration_variable,257,129,131,65,0.6757211538461538,0.6687568527265245,0.6201923076923077,0.6201550387596899
20260521,2,ctu_only,encoder_embedding,any_deceleration_prolonged,257,129,13,6,0.470189701897019,0.06573765365581172,0.5121951219512195,0.08695652173913043
20260521,2,ctu_only,classical_signal,any_deceleration_prolonged,257,129,13,6,0.8672086720867209,0.4993311931514179,0.8191056910569106,0.2857142857142857
20260521,2,jnu_to_ctu,encoder_embedding,any_tachycardia,257,129,16,13,0.8110079575596818,0.3902662618437599,0.7639257294429709,0.39215686274509803
20260521,2,jnu_to_ctu,classical_signal,any_tachycardia,257,129,16,13,0.9774535809018567,0.83808990155144,0.9353448275862069,0.6341463414634146
20260521,2,jnu_to_ctu,encoder_embedding,any_acceleration,257,129,118,69,0.6828502415458937,0.735955762981494,0.6177536231884058,0.6474820143884892
20260521,2,jnu_to_ctu,classical_signal,any_acceleration,257,129,118,69,0.6652173913043479,0.672040665476562,0.6025362318840579,0.5806451612903226
20260521,2,jnu_to_ctu,encoder_embedding,any_deceleration,257,129,189,95,0.8126934984520124,0.916866850328966,0.7718266253869969,0.8361581920903954
20260521,2,jnu_to_ctu,classical_signal,any_deceleration,257,129,189,95,0.7938080495356037,0.9184972486710152,0.7369969040247678,0.7421383647798742
20260521,2,jnu_to_ctu,encoder_embedding,any_deceleration_early,257,129,124,64,0.7641826923076923,0.7584094847172952,0.6897836538461539,0.6825396825396826
20260521,2,jnu_to_ctu,classical_signal,any_deceleration_early,257,129,124,64,0.7754807692307693,0.7475255382400954,0.6973557692307693,0.6829268292682927
