seed,fold,encoder_route,input_variant,evaluation_set,auprc,auroc,brier,ece,calibration_intercept,calibration_slope,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
20260521,1,random,full,development_oof,0.356839392293823,0.6053013798111837,0.22587708670003037,0.2054449696066207,-1.1869720558048327,0.2916690259919765,257,129,52,27,15,3.466666666666667
20260521,1,jnu_only,full,development_oof,0.32524456233724863,0.625998547567175,0.23146282055583198,0.2189975138865704,-1.2144575967926758,0.3434461836352405,257,129,52,27,15,3.466666666666667
20260521,1,jnu_asymmetric,full,development_oof,0.3518887964613873,0.5809731299927378,0.23900643025568155,0.2411670864471571,-1.2370306984473227,0.25825367430919677,257,129,52,27,15,3.466666666666667
20260521,1,ctu_only,full,development_oof,0.33892644660728377,0.6289034132171386,0.2312858418702324,0.20937493844997368,-1.1915877510098527,0.3236592517047757,257,129,52,27,15,3.466666666666667
20260521,1,jnu_to_ctu,full,development_oof,0.34074548795485277,0.621278140885984,0.23133415747628377,0.21521143671229181,-1.218205490875551,0.35196144693499704,257,129,52,27,15,3.466666666666667
20260521,1,ctu_only,fhr_only,development_sensitivity,0.3448124750292964,0.6016702977487292,0.2414927305363779,0.22704377700963124,-1.2042698884828484,0.2231780780556412,257,129,52,27,15,3.466666666666667
20260521,1,ctu_only,uc_only,development_sensitivity,0.3571684692723406,0.620551924473493,0.22087664753304395,0.20951633851280752,-1.1905461616144468,0.4258154867292002,257,129,52,27,15,3.466666666666667
20260521,1,ctu_only,one_hz,development_sensitivity,0.3250089224872049,0.6394335511982571,0.22593093917030949,0.21087546789942055,-1.1737924925389354,0.3596397995944025,257,129,52,27,15,3.466666666666667
20260521,1,jnu_to_ctu,fhr_only,development_sensitivity,0.3324478592191128,0.6107480029048656,0.23164539655493646,0.24550051101910764,-1.1923114931965486,0.2776254339819202,257,129,52,27,15,3.466666666666667
20260521,1,jnu_to_ctu,uc_only,development_sensitivity,0.3350821809379684,0.5969498910675382,0.22631367395495852,0.20781390985758366,-1.2111465565740818,0.32197410745455024,257,129,52,27,15,3.466666666666667
20260521,1,jnu_to_ctu,one_hz,development_sensitivity,0.3483063544224216,0.6263616557734204,0.2313897603762255,0.2176928679628115,-1.2152174371769437,0.3486454664129886,257,129,52,27,15,3.466666666666667
20260521,2,random,full,development_oof,0.5535387047404865,0.7725914861837193,0.18515421488237746,0.22948522979476754,-1.3613433246108344,1.1004594351027188,257,129,53,26,15,3.533333333333333
20260521,2,jnu_only,full,development_oof,0.5161324406069533,0.7628827483196414,0.1899019118838605,0.22557432395800822,-1.3336862052257628,0.9976910178232491,257,129,53,26,15,3.533333333333333
20260521,2,jnu_asymmetric,full,development_oof,0.516528336941545,0.7117251680358477,0.19835418318258338,0.22196806688177942,-1.283229949597014,0.8373031786799323,257,129,53,26,15,3.533333333333333
20260521,2,ctu_only,full,development_oof,0.5551222136579822,0.7591486183719194,0.18765752109271344,0.23365488866315476,-1.3439666969972024,0.9280362664565333,257,129,53,26,15,3.533333333333333
20260521,2,jnu_to_ctu,full,development_oof,0.5093301514812656,0.7412247946228527,0.19497514530147536,0.22575628964977193,-1.3063265286898744,0.9408275536141034,257,129,53,26,15,3.533333333333333
20260521,2,ctu_only,fhr_only,development_sensitivity,0.5469676526012078,0.7826736370425691,0.18322861600018664,0.22547824359939364,-1.3737946294747059,1.047166533984439,257,129,53,26,15,3.533333333333333
20260521,2,ctu_only,uc_only,development_sensitivity,0.5142909254393093,0.7094846900672144,0.194692820038648,0.2223363850080497,-1.2528295007485786,0.8034589160367849,257,129,53,26,15,3.533333333333333
20260521,2,ctu_only,one_hz,development_sensitivity,0.5540662066759745,0.7714712471994024,0.18535346435934627,0.2258869180453685,-1.3675154903375126,1.0019925253823734,257,129,53,26,15,3.533333333333333
20260521,2,jnu_to_ctu,fhr_only,development_sensitivity,0.5501612093845206,0.7916355489171022,0.18028287305365504,0.22338695882456178,-1.3191991639428753,1.0319525811046177,257,129,53,26,15,3.533333333333333
20260521,2,jnu_to_ctu,uc_only,development_sensitivity,0.5686068548510256,0.727781926811053,0.19348196340964077,0.22918414063661596,-1.3061012777744916,1.0341802513695277,257,129,53,26,15,3.533333333333333
20260521,2,jnu_to_ctu,one_hz,development_sensitivity,0.5013218037971642,0.7404779686333085,0.19626336193127386,0.22743030853551113,-1.3188878446518724,0.932813616868345,257,129,53,26,15,3.533333333333333
20260521,3,random,full,development_oof,0.26202185942575673,0.5987933634992458,0.24960561906100398,0.2776749496234405,-1.328705376446395,0.2810541737746752,258,128,53,26,15,3.533333333333333
20260521,3,jnu_only,full,development_oof,0.32032617170691885,0.6534690799396682,0.22552555460033108,0.24505248473345148,-1.3138400922167128,0.5962869607830865,258,128,53,26,15,3.533333333333333
20260521,3,jnu_asymmetric,full,development_oof,0.31320986628900094,0.5976621417797888,0.2431070002400267,0.26134323086406686,-1.3376966369899486,0.43083183221054894,258,128,53,26,15,3.533333333333333
20260521,3,ctu_only,full,development_oof,0.29954582166681665,0.6406485671191554,0.23027927023922273,0.23711149205238144,-1.3054961530628695,0.4500991521635549,258,128,53,26,15,3.533333333333333
20260521,3,jnu_to_ctu,full,development_oof,0.3176196119086057,0.6259426847662142,0.2359908317043343,0.25390506765201726,-1.3367931551511367,0.5270799730093263,258,128,53,26,15,3.533333333333333
20260521,3,ctu_only,fhr_only,development_sensitivity,0.31059167218711686,0.6402714932126696,0.2313743886700374,0.2366195760808318,-1.293210892080926,0.38787880110117623,258,128,53,26,15,3.533333333333333
20260521,3,ctu_only,uc_only,development_sensitivity,0.2846237765301736,0.5901206636500754,0.2489509194701523,0.2585102954859979,-1.3385711926480597,0.33894713416968275,258,128,53,26,15,3.533333333333333
20260521,3,ctu_only,one_hz,development_sensitivity,0.30386273684862647,0.6655354449472096,0.22379650179095986,0.23119872527260493,-1.297031519301265,0.49279853538055124,258,128,53,26,15,3.533333333333333
20260521,3,jnu_to_ctu,fhr_only,development_sensitivity,0.2929299905431948,0.6229260935143288,0.23480930242209835,0.23556774172589354,-1.3092514630870142,0.406271803281501,258,128,53,26,15,3.533333333333333
20260521,3,jnu_to_ctu,uc_only,development_sensitivity,0.2869195534859614,0.6229260935143288,0.2471497028437471,0.2704264438025045,-1.368611354875672,0.46334056785459454,258,128,53,26,15,3.533333333333333
20260521,3,jnu_to_ctu,one_hz,development_sensitivity,0.3134062254673299,0.6315987933634992,0.23296384130265146,0.25029738912928035,-1.329102878645792,0.5435759111230262,258,128,53,26,15,3.533333333333333
20260522,1,random,full,development_oof,0.3100645044953029,0.5733478576615832,0.23711341175187017,0.22445357123391443,-1.2116158537767574,0.20647649048197853,257,129,52,27,15,3.466666666666667
20260522,1,jnu_only,full,development_oof,0.31555483159014286,0.6209150326797386,0.2305469544969754,0.20963035329966737,-1.214972207790594,0.3506682264773158,257,129,52,27,15,3.466666666666667
20260522,1,jnu_asymmetric,full,development_oof,0.3608386180268919,0.6034858387799564,0.2280868698286438,0.20653146892366206,-1.2121161108781995,0.34019418806635865,257,129,52,27,15,3.466666666666667
20260522,1,ctu_only,full,development_oof,0.368439503523174,0.6332607116920842,0.22384561045064585,0.21288250063567346,-1.1755157432394652,0.3882494961608447,257,129,52,27,15,3.466666666666667
20260522,1,jnu_to_ctu,full,development_oof,0.30988474803392807,0.6343500363108207,0.2304019984974293,0.21105896923419945,-1.21371665274221,0.36222157342649447,257,129,52,27,15,3.466666666666667
20260522,1,ctu_only,fhr_only,development_sensitivity,0.3360794289643616,0.6227305737109659,0.22796533455855295,0.2306204412622013,-1.1699882163850523,0.337189665662276,257,129,52,27,15,3.466666666666667
