route,auprc_median,auprc_q1,auprc_q3,auprc_min,auprc_max,auroc_median,auroc_q1,auroc_q3,auroc_min,auroc_max,balanced_accuracy_median,balanced_accuracy_q1,balanced_accuracy_q3,balanced_accuracy_min,balanced_accuracy_max,f1_median,f1_q1,f1_q3,f1_min,f1_max
classical_signal,0.5665753948747871,0.5665753948747871,0.5665753948747871,0.5665753948747871,0.5665753948747871,0.7356847600625208,0.7356847600625208,0.7356847600625208,0.7356847600625208,0.7356847600625208,0.6930960739342108,0.6930960739342108,0.6930960739342108,0.6930960739342108,0.6930960739342108,0.5468643789511181,0.5468643789511181,0.5468643789511181,0.5468643789511181,0.5468643789511181
ctu_only,0.47892709346851003,0.4748214847172446,0.48114889157089097,0.4714874803051522,0.4823763182933424,0.6392313288969772,0.6363026811826306,0.6392931022479341,0.6352904845737946,0.6501670832170034,0.6040977291466122,0.5899250669868084,0.6121191747893638,0.5839691394436642,0.6133568509452175,0.46380122630210535,0.457015867485841,0.4735399453097066,0.4490078756045161,0.47454016968112167
jnu_asymmetric,0.44598024520659874,0.4393541499277003,0.460427489070261,0.43206659070945397,0.4694983984339737,0.6004596149986148,0.5907063949090586,0.6055223319418602,0.5818711610996702,0.614162263948317,0.5647955787692907,0.5600045965654149,0.5728632006701057,0.5575579672726774,0.5741234284527564,0.42767564220539783,0.42698664262963276,0.4346318757946591,0.4243833679026726,0.43757244354140423
jnu_only,0.5155447176873468,0.5052492399283194,0.517180567988858,0.49783086008925087,0.51838083324254,0.6737556374366643,0.6715997776684425,0.6761911713858083,0.6691980997575709,0.6954501549547899,0.6300391837800717,0.6297837891107022,0.6388347465194925,0.6287693670066149,0.6537719475875919,0.48681586331164206,0.4867133595567218,0.49833151634572376,0.48362340692794836,0.5090891882659028
jnu_to_ctu,0.5076057203527351,0.5044430963693048,0.5160338998321585,0.5044417507920947,0.5216968859954456,0.6801892207474112,0.6796875231237468,0.6816517375861102,0.6677455747594863,0.6916171004712071,0.6297581288465237,0.6287678510932254,0.6450372667031383,0.6217057659699597,0.6503010436851724,0.4926657554614914,0.4850042294932579,0.5015514317907537,0.4774475622368218,0.5039168957940414
random,0.45425919069917403,0.4516784589372619,0.4675932424876634,0.45049042388560717,0.4681745174668929,0.621132129839352,0.614733200314055,0.6213911298418805,0.6114623415877433,0.6267243839737914,0.5926766001279212,0.5850579629740091,0.5972776746025337,0.5805742663169214,0.5991716218216678,0.4533223405975545,0.45028367295862803,0.4594390779812771,0.4472507402756863,0.4624522171669545
