analysis,metric,candidate,baseline,point_mean_across_seeds,median_seed_difference,positive_seed_count,seed_count,ci_low,ci_high,bootstrap_iterations,point_mean_across_seeds_tasks
risk,auprc,jnu_only,random,0.011810760330275293,0.012869605161436426,5,5,-0.02201536875334752,0.03836029028756746,2000,
risk,auroc,jnu_only,random,0.014340493959510137,0.019585205953902673,5,5,-0.0032006212125154664,0.03231796936285192,2000,
risk,auprc,jnu_to_ctu,random,0.013152451850374924,0.014566502520825864,5,5,-0.021520180495820416,0.0421863784272504,2000,
risk,auroc,jnu_to_ctu,random,0.016369108976209114,0.01055539520884019,5,5,-0.003425439141740378,0.03837185910219614,2000,
risk,auprc,jnu_to_ctu,ctu_only,0.003042038375362954,0.006088484097428903,3,5,-0.030434688948848303,0.031622020818618195,2000,
risk,auroc,jnu_to_ctu,ctu_only,0.0037356203356285977,0.0042468972910566505,3,5,-0.014675725332840662,0.022758973673263204,2000,
risk,auprc,jnu_asymmetric,jnu_only,0.009817872778477354,0.016413803196345,4,5,-0.029049694754189136,0.044376988642456976,2000,
risk,auroc,jnu_asymmetric,jnu_only,-0.022793056529089185,-0.01855440564053934,1,5,-0.05030510838958127,0.0036765028388954725,2000,
morphology_macro,auprc,jnu_only,random,,0.050787590754876634,5,5,0.029796932369090753,0.07728183601233506,2000,0.05239807709194314
morphology_macro,auroc,jnu_only,random,,0.054464899443516,5,5,0.030363823550087293,0.08687984776238082,2000,0.05815033112929082
morphology_macro,auprc,jnu_to_ctu,random,,0.05276329185483277,5,5,0.03175843711839538,0.07469687076570393,2000,0.052405103973027875
morphology_macro,auroc,jnu_to_ctu,random,,0.06545602043335633,5,5,0.03441442629227544,0.08844107884210321,2000,0.06108959422622788
morphology_macro,auprc,jnu_to_ctu,ctu_only,,0.03278423563549048,5,5,0.015066992065807187,0.052407611180405524,2000,0.03309201699731973
morphology_macro,auroc,jnu_to_ctu,ctu_only,,0.04089611849947709,5,5,0.015505575660533418,0.0646827304468068,2000,0.04012129531392432
morphology_macro,auprc,jnu_asymmetric,jnu_only,,-0.07240058803594127,0,5,-0.0820216728998625,-0.04084564323291589,2000,-0.0613718691176655
morphology_macro,auroc,jnu_asymmetric,jnu_only,,-0.0854847764767496,0,5,-0.10064739154502758,-0.05517341361369153,2000,-0.07869461486115106
morphology_macro,auprc,jnu_to_ctu,classical_signal,,-0.058969674522052026,0,5,-0.09323908885888825,-0.017231075060925895,2000,-0.055731124206439386
morphology_macro,auroc,jnu_to_ctu,classical_signal,,-0.05549553931510961,0,5,-0.0923705114997607,-0.019977346665471227,2000,-0.05550652872492856
