seed,route,auprc,auroc,balanced_accuracy,f1
20260521,classical_signal,0.5665753948747871,0.7356847600625208,0.6930960739342108,0.5468643789511181
20260521,ctu_only,0.4748214847172446,0.6392313288969772,0.5839691394436642,0.4490078756045161
20260521,jnu_asymmetric,0.4694983984339737,0.614162263948317,0.5728632006701057,0.43757244354140423
20260521,jnu_only,0.517180567988858,0.6715997776684425,0.6287693670066149,0.48681586331164206
20260521,jnu_to_ctu,0.5076057203527351,0.6677455747594863,0.6217057659699597,0.4774475622368218
20260521,random,0.45049042388560717,0.6213911298418805,0.5926766001279212,0.4533223405975545
20260522,classical_signal,0.5665753948747871,0.7356847600625208,0.6930960739342108,0.5468643789511181
20260522,ctu_only,0.47892709346851003,0.6392931022479341,0.6121191747893638,0.4735399453097066
20260522,jnu_asymmetric,0.460427489070261,0.6055223319418602,0.5647955787692907,0.42767564220539783
20260522,jnu_only,0.49783086008925087,0.6691980997575709,0.6300391837800717,0.48362340692794836
20260522,jnu_to_ctu,0.5044430963693048,0.6801892207474112,0.6287678510932254,0.4850042294932579
20260522,random,0.45425919069917403,0.614733200314055,0.5850579629740091,0.4472507402756863
20260523,classical_signal,0.5665753948747871,0.7356847600625208,0.6930960739342108,0.5468643789511181
20260523,ctu_only,0.4714874803051522,0.6352904845737946,0.5899250669868084,0.457015867485841
20260523,jnu_asymmetric,0.4393541499277003,0.5907063949090586,0.5600045965654149,0.42698664262963276
20260523,jnu_only,0.5155447176873468,0.6761911713858083,0.6388347465194925,0.49833151634572376
20260523,jnu_to_ctu,0.5160338998321585,0.6796875231237468,0.6450372667031383,0.5015514317907537
20260523,random,0.4681745174668929,0.6267243839737914,0.5972776746025337,0.4624522171669545
20260524,classical_signal,0.5665753948747871,0.7356847600625208,0.6930960739342108,0.5468643789511181
20260524,ctu_only,0.48114889157089097,0.6501670832170034,0.6133568509452175,0.47454016968112167
20260524,jnu_asymmetric,0.43206659070945397,0.5818711610996702,0.5575579672726774,0.4243833679026726
20260524,jnu_only,0.5052492399283194,0.6737556374366643,0.6297837891107022,0.4867133595567218
20260524,jnu_to_ctu,0.5044417507920947,0.6816517375861102,0.6297581288465237,0.4926657554614914
20260524,random,0.4516784589372619,0.6114623415877433,0.5805742663169214,0.45028367295862803
20260525,classical_signal,0.5665753948747871,0.7356847600625208,0.6930960739342108,0.5468643789511181
20260525,ctu_only,0.4823763182933424,0.6363026811826306,0.6040977291466122,0.46380122630210535
20260525,jnu_asymmetric,0.44598024520659874,0.6004596149986148,0.5741234284527564,0.4346318757946591
20260525,jnu_only,0.51838083324254,0.6954501549547899,0.6537719475875919,0.5090891882659028
20260525,jnu_to_ctu,0.5216968859954456,0.6916171004712071,0.6503010436851724,0.5039168957940414
20260525,random,0.4675932424876634,0.621132129839352,0.5991716218216678,0.4594390779812771
