seed,route,task,n,positives,auprc,auroc,balanced_accuracy,f1
20260521,classical_signal,any_acceleration,386,187,0.6144206067281602,0.6450971434713675,0.6051917340714266,0.5846994535519126
20260521,classical_signal,any_deceleration,386,284,0.8533293036667204,0.7074012703673018,0.6639395194697597,0.7370517928286853
20260521,classical_signal,any_deceleration_early,386,188,0.7072864246864056,0.7364603481624759,0.6812003008811519,0.6737400530503979
20260521,classical_signal,any_deceleration_late,386,74,0.2813288954343057,0.6512040887040887,0.6336191961191961,0.3983402489626556
20260521,classical_signal,any_deceleration_prolonged,386,19,0.16302379194712885,0.7630861895884125,0.7095224437114585,0.22018348623853212
20260521,classical_signal,any_deceleration_variable,386,196,0.6706815592650817,0.6890440386680989,0.6342642320085929,0.6483790523690773
20260521,classical_signal,any_tachycardia,386,29,0.6759571823957076,0.9575002414759007,0.9239350912778905,0.5656565656565656
20260521,ctu_only,any_acceleration,386,187,0.6603902585464336,0.6693897293956413,0.5969150565662538,0.6020408163265306
20260521,ctu_only,any_deceleration,386,284,0.8714433500873576,0.7255937586302126,0.6675987296326982,0.768642447418738
20260521,ctu_only,any_deceleration_early,386,188,0.6700704562756976,0.6854448742746615,0.6449065119277886,0.636604774535809
20260521,ctu_only,any_deceleration_late,386,74,0.24397919731892914,0.5748007623007624,0.5322678447678448,0.2920353982300885
20260521,ctu_only,any_deceleration_prolonged,386,19,0.057965108563821026,0.5187150437401405,0.49125197189158176,0.07874015748031496
20260521,ctu_only,any_deceleration_variable,386,196,0.6688119202697322,0.6559344790547799,0.6089151450053706,0.6098191214470284
20260521,ctu_only,any_tachycardia,386,29,0.1510901019587412,0.6447406548826428,0.5459287163141119,0.15517241379310345
20260521,jnu_asymmetric,any_acceleration,386,187,0.6181830195429971,0.6437803993228173,0.590922527073872,0.5863874345549738
20260521,jnu_asymmetric,any_deceleration,386,284,0.8457397841819861,0.6371168185584093,0.5823667495167081,0.7153846153846154
20260521,jnu_asymmetric,any_deceleration_early,386,188,0.6764923265498819,0.6791854717386633,0.5854824844186546,0.5789473684210527
20260521,jnu_asymmetric,any_deceleration_late,386,74,0.19329398382516888,0.46244802494802495,0.4956254331254331,0.2543859649122807
20260521,jnu_asymmetric,any_deceleration_prolonged,386,19,0.1336095213984511,0.6018930159185429,0.576581098522874,0.13333333333333333
20260521,jnu_asymmetric,any_deceleration_variable,386,196,0.6307815123010816,0.6019602577873255,0.5669709989258862,0.581453634085213
20260521,jnu_asymmetric,any_tachycardia,386,29,0.1883886412382489,0.6727518593644354,0.612093113107312,0.21311475409836064
20260521,jnu_only,any_acceleration,386,187,0.6729481694227446,0.6732056001934807,0.616854325101443,0.612565445026178
20260521,jnu_only,any_deceleration,386,284,0.9008312166332508,0.7756144711405688,0.7114747307373654,0.8015122873345936
20260521,jnu_only,any_deceleration_early,386,188,0.694160930165203,0.7014560498603053,0.6445035460992907,0.6307277628032345
20260521,jnu_only,any_deceleration_late,386,74,0.2250029348175757,0.5307519057519058,0.5004331254331253,0.2577777777777778
20260521,jnu_only,any_deceleration_prolonged,386,19,0.08810316611573922,0.5934318084038434,0.5888426789043453,0.14583333333333334
20260521,jnu_only,any_deceleration_variable,386,196,0.6956775730510937,0.7171858216970999,0.673093447905478,0.6865671641791045
20260521,jnu_only,any_tachycardia,386,29,0.3435399857163994,0.7095527866318941,0.6661837148652565,0.2727272727272727
20260521,jnu_to_ctu,any_acceleration,386,187,0.6485223775391629,0.6495310778491388,0.5981377475613361,0.5866666666666667
20260521,jnu_to_ctu,any_deceleration,386,284,0.9017709911635725,0.7758215962441315,0.7216583816625242,0.8097928436911488
20260521,jnu_to_ctu,any_deceleration_early,386,188,0.70706013540763,0.710401891252955,0.6470287986245433,0.6324324324324324
20260521,jnu_to_ctu,any_deceleration_late,386,74,0.24389789306578283,0.5478170478170478,0.5071898821898821,0.26548672566371684
20260521,jnu_to_ctu,any_deceleration_prolonged,386,19,0.09340032063034329,0.571346622687509,0.5611644916104976,0.125
20260521,jnu_to_ctu,any_deceleration_variable,386,196,0.6904560773003149,0.7037593984962406,0.6473415682062298,0.6582914572864321
20260521,jnu_to_ctu,any_tachycardia,386,29,0.2681322473623395,0.7155413889693808,0.669419491934705,0.2644628099173554
20260521,random,any_acceleration,386,187,0.635634382477015,0.6683685808722757,0.6042915110310912,0.6046511627906976
20260521,random,any_deceleration,386,284,0.8494591405269212,0.703949185307926,0.6566556199944766,0.7485380116959064
20260521,random,any_deceleration_early,386,188,0.6086943663062645,0.6303728777133032,0.6035622179239201,0.5963060686015831
20260521,random,any_deceleration_late,386,74,0.24060398091558538,0.5980595980595981,0.5653586278586279,0.3257918552036199
20260521,random,any_deceleration_prolonged,386,19,0.05323742077474573,0.47325397963573784,0.5298293417467375,0.10084033613445378
20260521,random,any_deceleration_variable,386,196,0.5956483295333073,0.617373791621912,0.5983888292158969,0.6035805626598465
20260521,random,any_tachycardia,386,29,0.17015534666541102,0.6583598956824109,0.5906500531246982,0.1935483870967742
20260522,classical_signal,any_acceleration,386,187,0.6144206067281602,0.6450971434713675,0.6051917340714266,0.5846994535519126
20260522,classical_signal,any_deceleration,386,284,0.8533293036667204,0.7074012703673018,0.6639395194697597,0.7370517928286853
20260522,classical_signal,any_deceleration_early,386,188,0.7072864246864056,0.7364603481624759,0.6812003008811519,0.6737400530503979
20260522,classical_signal,any_deceleration_late,386,74,0.2813288954343057,0.6512040887040887,0.6336191961191961,0.3983402489626556
20260522,classical_signal,any_deceleration_prolonged,386,19,0.16302379194712885,0.7630861895884125,0.7095224437114585,0.22018348623853212
20260522,classical_signal,any_deceleration_variable,386,196,0.6706815592650817,0.6890440386680989,0.6342642320085929,0.6483790523690773
20260522,classical_signal,any_tachycardia,386,29,0.6759571823957076,0.9575002414759007,0.9239350912778905,0.5656565656565656
20260522,ctu_only,any_acceleration,386,187,0.6666601379613157,0.6937091876494773,0.6459436218525785,0.6478149100257069
20260522,ctu_only,any_deceleration,386,284,0.8878719953894688,0.7467205191935928,0.6858257387462028,0.7777777777777778
20260522,ctu_only,any_deceleration_early,386,188,0.6508933290220353,0.6647055663013111,0.61605415860735,0.6021505376344086
20260522,ctu_only,any_deceleration_late,386,74,0.20938437032369456,0.5167619542619541,0.5103950103950105,0.26785714285714285
20260522,ctu_only,any_deceleration_prolonged,386,19,0.049190423581586776,0.4302308905779435,0.4631435537071562,0.056074766355140186
20260522,ctu_only,any_deceleration_variable,386,196,0.6901149453003702,0.6785982814178304,0.6395273899033298,0.6516290726817042
20260522,ctu_only,any_tachycardia,386,29,0.19837445270109905,0.7443253163334299,0.7239447503139187,0.3114754098360656
20260522,jnu_asymmetric,any_acceleration,386,187,0.6239484079287994,0.6318759573267407,0.5750409803025824,0.5661375661375662
20260522,jnu_asymmetric,any_deceleration,386,284,0.8418501755313708,0.6584852250759459,0.6142985363159348,0.7380497131931166
20260522,jnu_asymmetric,any_deceleration_early,386,188,0.6143692641561083,0.6193853427895981,0.5804319793681496,0.5759162303664922
20260522,jnu_asymmetric,any_deceleration_late,386,74,0.22747630492934173,0.5060637560637561,0.4972279972279972,0.2555066079295154
20260522,jnu_asymmetric,any_deceleration_prolonged,386,19,0.0777379234912855,0.5408002294564749,0.5352789330273914,0.10434782608695652
20260522,jnu_asymmetric,any_deceleration_variable,386,196,0.6071382850027635,0.5867883995703544,0.549436090225564,0.546875
20260522,jnu_asymmetric,any_tachycardia,386,29,0.23047206245215773,0.6952574133101517,0.6018545349174153,0.20689655172413793
20260522,jnu_only,any_acceleration,386,187,0.6504233900447813,0.6620267110955849,0.6039690430763442,0.6005221932114883
20260522,jnu_only,any_deceleration,386,284,0.8935723444958862,0.7643951946975973,0.7093344380005524,0.7938931297709924
20260522,jnu_only,any_deceleration_early,386,188,0.6990460409348753,0.7103750268643885,0.657264130668386,0.6413043478260869
20260522,jnu_only,any_deceleration_late,386,74,0.21463746719304447,0.5341735966735967,0.5331774081774082,0.28837209302325584
20260522,jnu_only,any_deceleration_prolonged,386,19,0.097114186086748,0.6224006883694249,0.6028968879965582,0.1509433962264151
20260522,jnu_only,any_deceleration_variable,386,196,0.6826735983699356,0.6902524167561761,0.6500537056928034,0.6582278481012658
20260522,jnu_only,any_tachycardia,386,29,0.24734899349948497,0.7007630638462282,0.6535786728484497,0.25210084033613445
20260522,jnu_to_ctu,any_acceleration,386,187,0.64944581207632,0.6684760701905248,0.6046139789858382,0.6086956521739131
20260522,jnu_to_ctu,any_deceleration,386,284,0.912224268043472,0.7906655619994477,0.7124758354045844,0.7931034482758621
20260522,jnu_to_ctu,any_deceleration_early,386,188,0.7205453768026612,0.7375886524822696,0.6781377605845691,0.6648648648648648
20260522,jnu_to_ctu,any_deceleration_late,386,74,0.23067909697921654,0.5522349272349272,0.5251645876645876,0.2818181818181818
20260522,jnu_to_ctu,any_deceleration_prolonged,386,19,0.09533019582959319,0.6056216836368852,0.5570772981500072,0.12121212121212122
20260522,jnu_to_ctu,any_deceleration_variable,386,196,0.6885472846823786,0.6960257787325457,0.6628893662728249,0.6733668341708543
20260522,jnu_to_ctu,any_tachycardia,386,29,0.23432964017149197,0.7107118709552787,0.6610161305901672,0.25196850393700787
20260522,random,any_acceleration,386,187,0.6321510199655004,0.6698196866686373,0.6247144814984011,0.6214099216710183
20260522,random,any_deceleration,386,284,0.8503289011129598,0.7106462303231152,0.6942488262910798,0.7839388145315488
20260522,random,any_deceleration_early,386,188,0.6399001800544948,0.6534225231033742,0.6035622179239201,0.5963060686015831
