route,development_auprc_median,development_auprc_q1,development_auprc_q3,development_auroc_median,morphology_macro_auprc_median,morphology_macro_auroc_median,fixed_test_auprc_median,fixed_test_auroc_median
random,0.3611393844203654,0.3535981360986939,0.362233102260619,0.6584340081639385,0.454259190699174,0.621132129839352,0.3840235328635329,0.5978163992869876
ctu_only,0.379749811064037,0.3531217223269717,0.3811731573757702,0.6690718673978477,0.47892709346851,0.6392313288969772,0.4017174049907016,0.5944741532976826
jnu_only,0.3658260013694367,0.3654188945766466,0.3751027074220554,0.6702263637488146,0.5155447176873468,0.6737556374366643,0.4011848608721555,0.6091800356506238
jnu_to_ctu,0.3681646386195198,0.3679569478572378,0.369109374133995,0.6719993402877995,0.5076057203527351,0.6801892207474112,0.3419848079956876,0.5951426024955436
jnu_asymmetric,0.3801946962978069,0.3701114145385213,0.3822398045657817,0.6475075248422876,0.4459802452065987,0.6004596149986148,,
