route,input_variant,evaluation_set,auprc_median,auprc_q1,auprc_q3,auprc_min,auprc_max,auroc_median,auroc_q1,auroc_q3,auroc_min,auroc_max,balanced_accuracy_median,balanced_accuracy_q1,balanced_accuracy_q3,balanced_accuracy_min,balanced_accuracy_max,f1_median,f1_q1,f1_q3,f1_min,f1_max
ctu_only,fhr_only,development_sensitivity,0.36445199852906807,0.3480300354529884,0.3756484879519737,0.3333766726418414,0.37721124647970583,0.670803611924298,0.670721147899229,0.677400733929823,0.6588050962767492,0.681812559271018,0.6152434750340163,0.6074712406712571,0.6235723415659918,0.60458499979384,0.6554034552426504,0.3948497854077253,0.38596491228070173,0.40358744394618834,0.38181818181818183,0.43946188340807174
ctu_only,full,development_oof,0.37974981106403705,0.3531217223269717,0.3811731573757702,0.34291926364052927,0.38368720807976064,0.6690718673978477,0.6663505545705686,0.6734836927390426,0.6650311301694635,0.6805343668824475,0.6284583350513339,0.6268296705562199,0.6300869995464479,0.5968127654310806,0.6521461262524224,0.4090909090909091,0.4072398190045249,0.410958904109589,0.37209302325581395,0.43555555555555553
ctu_only,one_hz,development_sensitivity,0.3675944760473789,0.3563740651089491,0.37878869020766315,0.34640514612883605,0.38251026436469027,0.67018513173628,0.6661031624953614,0.6718756442501959,0.6657320743825506,0.6870490248629035,0.6362305694140931,0.6347874489753844,0.6378592339092071,0.6063992083453593,0.6429307714509545,0.4177777777777778,0.416289592760181,0.41964285714285715,0.38317757009345793,0.42592592592592593
ctu_only,uc_only,development_sensitivity,0.3600396065495552,0.3596069572275523,0.3688340384300429,0.34953122304435447,0.4164307109630335,0.6470127406918732,0.6427658434008163,0.6666804106708448,0.6381478579969488,0.6748031171401476,0.5996990063084979,0.5868552344039912,0.609470993279182,0.575825671051004,0.6219436770708778,0.37668161434977576,0.36283185840707965,0.3870967741935484,0.34977578475336324,0.4017857142857143
jnu_asymmetric,full,development_oof,0.38019469629780694,0.3701114145385213,0.38223980456578177,0.3690675903004771,0.3966287549531851,0.6475075248422876,0.6315095039788893,0.6644951140065146,0.6271389106502288,0.6783903022306519,0.6141714427081186,0.6107285696614851,0.6203150125757638,0.6060281202325486,0.6347874489753844,0.3926940639269406,0.3893805309734513,0.4,0.38392857142857145,0.416289592760181
jnu_only,full,development_oof,0.36582600136943677,0.36541889457664667,0.3751027074220554,0.36324600949039587,0.3795592839048507,0.6702263637488146,0.6690718673978476,0.6773595019172886,0.6660619304828269,0.6802869748072403,0.6252010060611058,0.624829917948295,0.6252010060611058,0.6076567847276626,0.629715911433637,0.40540540540540543,0.4051724137931034,0.40540540540540543,0.38565022421524664,0.4104803493449782
jnu_to_ctu,fhr_only,development_sensitivity,0.34051959989792824,0.33841011262637954,0.3617354647883101,0.3382588776998408,0.3662156398112257,0.6663917865831032,0.6650723621819981,0.6678349070218117,0.6565785675998845,0.6742671009771987,0.6300869995464479,0.629715911433637,0.6394878984043211,0.6206861006885747,0.6460025563847771,0.410958904109589,0.4104803493449782,0.42152466367713004,0.4,0.4292237442922374
jnu_to_ctu,full,development_oof,0.3681646386195198,0.36795694785723787,0.369109374133995,0.36479209859166495,0.38583829516146595,0.6719993402877995,0.6705974518616252,0.6801220467571023,0.6675050509215354,0.6829258236094504,0.6156145631468272,0.6125427782130046,0.6172432276419412,0.606213664288954,0.629715911433637,0.39461883408071746,0.39090909090909093,0.3963963963963964,0.3835616438356164,0.4104803493449782
jnu_to_ctu,one_hz,development_sensitivity,0.36596060230885885,0.3659511477710721,0.3724068506952851,0.3646232033479209,0.38606341398181176,0.6772770378922195,0.6753391333030966,0.6836679998350719,0.6708448439368326,0.685069888261246,0.6203150125757638,0.6203150125757638,0.6221292211272832,0.6015132148600173,0.6235723415659918,0.4,0.4,0.4018264840182648,0.3778801843317972,0.40358744394618834
jnu_to_ctu,uc_only,development_sensitivity,0.37889718154049157,0.37741267436737225,0.3806567416252089,0.37175612040349765,0.38363018172712693,0.6498165175442213,0.6475899888673565,0.6504349977322392,0.6426421473632128,0.6516307260957407,0.6074712406712571,0.6074712406712571,0.6201294685193584,0.5915556838329279,0.6250154620047004,0.38596491228070173,0.38596491228070173,0.4,0.3684210526315789,0.4052863436123348
random,full,development_oof,0.3611393844203654,0.35359813609869395,0.362233102260619,0.349357426107216,0.36377104622511464,0.6584340081639385,0.6565373355873501,0.6614439450789593,0.6464767245289242,0.6684121551972952,0.6172432276419412,0.615985651259638,0.6188718921370552,0.6138003545953078,0.6315301199851564,0.3963963963963964,0.39436619718309857,0.39819004524886875,0.3930131004366812,0.4125560538116592
