model,calibration,auprc,auroc,brier,ece,calibration_intercept,calibration_slope
signal_10,raw,0.37645963739658134,0.642825311942959,0.2482316430404819,0.2874330814561564,-1.4267371258820472,0.6518120864264426
signal_10,platt,0.37645963739658134,0.642825311942959,0.154289897600427,0.03862062029997,-0.24044466841242607,0.9005647323761555
signal_10,isotonic,0.3138294773220011,0.6228832442067737,0.15806528774614126,0.058761927903505796,-0.5425482894097452,0.6506193314234258
signal_10_plus_ssl_pca5,raw,0.39286912555204784,0.5995989304812834,0.26361065428494956,0.2747111781360301,-1.3919939658587535,0.38598076178015245
signal_10_plus_ssl_pca5,platt,0.39286912555204784,0.5995989304812834,0.15794934737997013,0.09150630243111789,-0.5638027774934594,0.6440395731553561
signal_10_plus_ssl_pca5,isotonic,0.34152640528101674,0.5969251336898397,0.16938376597741342,0.08775266382615798,-0.855813058501763,0.4171188600831121
