route,development_auprc_median,development_auroc_median,fixed_test_auprc_median,fixed_test_auroc_median
random,0.3611393844203654,0.6584340081639385,0.3840235328635329,0.5978163992869876
ctu_only,0.379749811064037,0.6690718673978477,0.4017174049907016,0.5944741532976826
jnu_only,0.3658260013694367,0.6702263637488146,0.4011848608721555,0.6091800356506238
jnu_to_ctu,0.3681646386195198,0.6719993402877995,0.3419848079956876,0.5951426024955436
jnu_asymmetric,0.3801946962978069,0.6475075248422876,,
