model,calibration,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
signal_10,isotonic,0.05,0.16423589093214963,0.16296766011414077,0.0
signal_10,isotonic,0.060000000000000005,0.15560112791591899,0.1540630607536529,0.0
signal_10,isotonic,0.07,0.1467806710713823,0.14496696463272443,0.0
signal_10,isotonic,0.08,0.13776846516500785,0.13567312729177577,0.0
signal_10,isotonic,0.09,0.12855818879915265,0.12617502978948764,0.0
signal_10,isotonic,0.1,0.11914323962516732,0.11646586345381525,0.0
signal_10,isotonic,0.11,0.10721537836740219,0.10653851360498172,0.0
signal_10,isotonic,0.12000000000000001,0.09775465498357064,0.09638554216867468,0.0
signal_10,isotonic,0.13,0.0880764437058579,0.0859991690901537,0.0
signal_10,isotonic,0.14,0.07817315774726813,0.07537125245166712,0.0
signal_10,isotonic,0.15000000000000002,0.06768249468462083,0.06449326718639259,0.0
signal_10,isotonic,0.16,0.06110154905335628,0.05335628227194489,0.0
signal_10,isotonic,0.16999999999999998,0.043329946291188866,0.041950936275221395,0.0
signal_10,isotonic,0.18,0.03952394945636205,0.03026741110784603,0.0
signal_10,isotonic,0.19,0.03562397739104567,0.018295403837572527,0.0
signal_10,isotonic,0.2,0.03162650602409639,0.00602409638554216,0.0
signal_10,isotonic,0.21000000000000002,0.0275278328503889,-0.006557877077932012,0.0
signal_10,isotonic,0.22000000000000003,0.023324065492740187,-0.019462465245597832,0.0
signal_10,isotonic,0.22999999999999998,0.019011109372555166,-0.03270223752151463,0.0
signal_10,isotonic,0.24,0.014584654407102104,-0.04629042485732404,0.0
signal_10,isotonic,0.25,0.012048192771084348,-0.06024096385542166,0.0
signal_10,isotonic,0.26,0.016606968414197315,-0.07456854444806255,0.0
signal_10,isotonic,0.27,0.013038455190625506,-0.0892886614952963,0.0
signal_10,isotonic,0.28,0.00937081659973224,-0.104417670682731,0.0
signal_10,isotonic,0.29,0.00559986424571525,-0.11997284914305112,0.0
signal_10,isotonic,0.3,0.0017211703958691787,-0.13597246127366613,0.0
signal_10,isotonic,0.31,0.026279029160118726,-0.1524358302776323,0.0
signal_10,isotonic,0.32,0.02409638554216867,-0.16938341601700924,0.0
signal_10,isotonic,0.33,0.02184858838338427,-0.1868368998381587,0.0
signal_10,isotonic,0.33999999999999997,0.019532676159182194,-0.20481927710843367,0.0
signal_10,isotonic,0.35,0.01714550509731233,-0.2233549582947173,0.0
signal_10,isotonic,0.36,0.014683734939759038,-0.2424698795180723,0.0
signal_10,isotonic,0.37,0.010327022375215142,-0.2621916236374068,0.0
signal_10,isotonic,0.38,0.00893898173338515,-0.28254955305091334,0.0
signal_10,isotonic,0.39,0.0075054315623148266,-0.30357495555994474,0.0
signal_10,isotonic,0.4,0.00602409638554216,-0.32530120481927716,0.0
signal_10,isotonic,0.41,0.004492546457014503,-0.3477639371043495,0.0
signal_10,isotonic,0.42,0.0029081844619858743,-0.3710012463647694,0.0
signal_10,isotonic,0.43,0.001268230818008878,-0.39505389980976535,0.0
signal_10,isotonic,0.44,-0.00043029259896729816,-0.41996557659208267,0.0
