seed,model,n_predictors,events_per_predictor,auprc,auroc,brier,n_train,n_validation,events_train,events_validation
fixed,signal_10,10,7.9,0.37645963739658134,0.642825311942959,0.2482316430404819,,,,
20260521,signal_10_plus_ssl_pca5,15,5.266666666666667,0.39286912555204784,0.5995989304812834,0.26361065428494956,386.0,166.0,79.0,34.0
20260522,signal_10_plus_ssl_pca5,15,5.266666666666667,0.3934959763680452,0.5866755793226381,0.26283309371963076,386.0,166.0,79.0,34.0
20260523,signal_10_plus_ssl_pca5,15,5.266666666666667,0.40415889582672554,0.6058377896613191,0.262790079550486,386.0,166.0,79.0,34.0
20260524,signal_10_plus_ssl_pca5,15,5.266666666666667,0.4021347793370508,0.5933600713012477,0.2622754857586349,386.0,166.0,79.0,34.0
20260525,signal_10_plus_ssl_pca5,15,5.266666666666667,0.3915553831585805,0.5953654188948306,0.26426641344118246,386.0,166.0,79.0,34.0
